TextName:Lat,Long,Location,Dialect,Genre,YoC,YoM,AuthName,AuthBD,AuthSex,AuthAge,RecName,RecBD,RecSex,RecAge,RecRelation,Words,OCWords,NamWords,ForWords,Types,OCTypes,NamTypes,ForTypes,Chars,OCChars,NamChars,ForChars,Tokens
LAWRENCE-1908:NA,NA,NA,NA,LET PRIV,1908,1908,David Herbert_Lawrence,1885,m,23,NA,NA,NA,NA,NA,9537,2800,301,88,2268,1325,125,64,38178,15053,1701,409,866
LAYARD-1894:NA,NA,NA,NA,TRAVELOGUE,1894,1894,Sir Austen Henry_Layard,1817,m,77,NA,NA,NA,NA,NA,10045,2987,291,14,2254,1417,112,13,45484,19281,1906,110,512
LAYER-1723:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1723,1723,n/a,NA,NA,NA,NA,NA,NA,NA,NA,47335,12535,3056,751,3468,2024,353,300,197579,75097,16487,4415,2566
LEATHES-1913:NA,NA,NA,NA,EDUC TREAT,1913,1913,Stanley_Leathes,1861,m,52,NA,NA,NA,NA,NA,9279,2985,82,14,1989,1272,63,11,42736,20154,552,64,633
LEFEVRE-1843:NA,NA,NA,NA,BIO AUTO,1843,1843,George William_Lefevre,1798,m,45,NA,NA,NA,NA,NA,7814,2318,203,49,1892,1183,113,41,33349,14363,1079,266,545
LIDDON-1889:NA,NA,NA,NA,SERMON,1889,1889,Henry Parry_Liddell,1829,m,60,NA,NA,NA,NA,NA,9125,2452,394,0,1899,1187,127,0,39645,15254,2269,0,446
LINGARD-1823:NA,NA,NA,NA,HISTORY,1823,1823,John_Lingard,1771,m,52,NA,NA,NA,NA,NA,8785,2755,408,9,2157,1476,152,7,42295,19300,2661,46,426
LOUDON-1806:NA,NA,NA,NA,HANDBOOK_OTHER,1806,1806,John Claudius_Loudon,1783,m,23,NA,NA,NA,NA,NA,9288,2905,122,43,1734,1047,69,5,42588,18441,802,148,386
MACAULAY-1833:NA,NA,NA,NA,HISTORY,1833,1833,baron Macaulay_Thomas Babington Macaulay,1800,m,33,NA,NA,NA,NA,NA,8899,2551,545,15,2357,1404,229,13,41693,16730,3485,89,515
MACAULAY-1843:NA,NA,NA,NA,HISTORY,1843,1843,baron Macaulay_Thomas Babington Macaulay,1800,m,43,NA,NA,NA,NA,NA,9894,2855,488,3,2495,1557,201,3,44722,17850,3047,19,571
MACAULAY-1849:NA,NA,NA,NA,HISTORY,1849,1857,baron Macaulay_Thomas Babington Macaulay,1800,m,49,NA,NA,NA,NA,NA,8843,2636,358,0,2192,1405,154,0,42680,17978,2508,0,416
MACQUARIE-1815:NA,NA,NA,NA,TRAVELOGUE,1815,1815,Lachlan_Macquarie,1762,m,53,NA,NA,NA,NA,NA,10132,3267,885,63,1480,853,187,11,43223,17197,5012,134,514
MATHEWS-1875:NA,NA,NA,NA,DRAMA COMEDY,1875,1875,Charles James_Mathews,1803,m,72,NA,NA,NA,NA,NA,9589,2794,717,11,1728,1103,82,7,37901,14591,3366,55,1186
MAURICE-1857:NA,NA,NA,NA,SERMON,1857,1857,Frederick Denison_Maurice,1805,m,52,NA,NA,NA,NA,NA,9195,2488,231,0,1854,1187,55,0,40011,15990,1227,0,412
MEREDITH-188X:NA,NA,NA,NA,LET PRIV,1885,1885,George_Meredith,1828,m,57,NA,NA,NA,NA,NA,9600,2833,796,22,2040,1240,224,10,39834,15826,4718,75,993
MIDSHIPMAN-1767:NA,NA,NA,NA,TRAVELOGUE,1767,1767,Anonymous midshipman,NA,m,NA,NA,NA,NA,NA,NA,10241,3199,219,15,2458,1614,104,4,45149,19253,1439,67,609
MILES-1873:NA,NA,NA,NA,HANDBOOK_OTHER,1873,1873,Henry Downes_Miles,1806,m,NA,NA,NA,NA,NA,NA,9031,2960,35,18,1852,1154,22,17,39105,17354,224,98,450
MILES2-1893:NA,NA,NA,NA,HANDBOOK_OTHER,1893,1893,William J._Miles,NA,m,NA,NA,NA,NA,NA,NA,9322,3081,39,15,2083,1338,28,9,41090,18329,231,53,488
MILL-1854:NA,NA,NA,NA,LET PRIV,1854,1854,John Stuart_Mill,1806,m,48,NA,NA,NA,NA,NA,9750,2770,365,73,1836,1067,195,50,41135,15052,2185,351,609
MILL-1871:NA,NA,NA,NA,LET PRIV,1871,1871,John Stuart_Mill,1806,m,65,NA,NA,NA,NA,NA,9573,2655,459,6,2006,1215,137,6,43615,16931,2509,26,452
MOORE-181X:NA,NA,NA,NA,DIARY,1818,1818,Thomas_Moore,1779,m,39,NA,NA,NA,NA,NA,10051,2925,821,64,2403,1362,363,37,43203,16922,4895,291,799
MORTON-1807:NA,NA,NA,NA,DRAMA COMEDY,1807,1807,Thomas_Morton,1764,m,43,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
MORTON-1813:NA,NA,NA,NA,DRAMA COMEDY,1813,1818,Thomas_Morton,1764,m,49,NA,NA,NA,NA,NA,9777,3016,946,49,2416,1568,111,39,41535,17443,4520,207,1116
NIGHTINGALE-1848:NA,NA,NA,NA,LET PRIV,1848,1848,Florence_Nightingale,1820,f,28,NA,NA,NA,NA,NA,9404,2564,523,176,2169,1197,239,131,39739,14700,3034,975,653
OCONNELL-1844:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1844,1844,n/a,NA,NA,NA,NA,NA,NA,NA,NA,42527,12321,2292,31,3380,2140,372,17,176435,71820,13173,155,4024
OKEEFFE-1767:NA,NA,NA,NA,DRAMA COMEDY,1767,1767,John_O'Keeffe,1747,m,20,NA,NA,NA,NA,NA,8199,2360,638,20,1673,1045,79,16,32657,12860,3138,108,786
OLDMIXON-1716:NA,NA,NA,NA,BIOGR OTHER,1716,1716,John_Oldmixon,1673,m,43,NA,NA,NA,NA,NA,12117,3340,932,7,2193,1371,264,6,53231,21104,5604,42,437
OSMER-1759:NA,NA,NA,NA,HANDBOOK_OTHER,1759,1759,William_Osmer,NA,m,NA,NA,NA,NA,NA,NA,9147,2808,27,27,1601,949,12,23,39252,16212,134,140,364
OWEN-1813:NA,NA,NA,NA,EDUC TREAT,1813,1813,Robert_Owen,1771,m,42,NA,NA,NA,NA,NA,9269,2779,53,1,1870,1181,22,1,45323,19862,301,4,377
OWEN-1847:NA,NA,NA,NA,EDUC TREAT,1847,1847,Robert_Owen,1771,m,76,NA,NA,NA,NA,NA,10373,3224,85,17,2559,1588,41,13,48528,21389,533,97,393
OWEN-1857:NA,NA,NA,NA,BIOGR AUTO,1857,1857,Robert_Owen,1771,m,86,NA,NA,NA,NA,NA,9513,2776,308,3,1915,1200,120,1,41264,17337,1865,9,520
PALGRAVE-185X:NA,NA,NA,NA,HISTORY,1859,1859,Francis_Palgrave,1788,m,71,NA,NA,NA,NA,NA,8684,2663,426,14,2555,1629,174,12,40749,16998,2878,85,502
PALGRAVE2-1863:NA,NA,NA,NA,TRAVELOGUE,1863,1863,William Gifford_Palgrave,1826,m,37,NA,NA,NA,NA,NA,10099,3092,298,21,2858,1795,133,19,47691,20175,2162,126,462
PARNELL-1881:NA,NA,NA,NA,PROCEEDINGS_TRIAL,1881,1881,n/a,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
PLANCHE-1827:NA,NA,NA,NA,DRAMA COMEDY,1827,1827,James Robinson_Planch&eacute;,1796,m,31,NA,NA,NA,NA,NA,9653,2781,649,3,1749,1132,48,3,38778,15193,3384,16,1123
PLANCHE-1846:NA,NA,NA,NA,DRAMA COMEDY,1846,1846,James Robinson_Planch&eacute;,1796,m,50,NA,NA,NA,NA,NA,9560,2699,676,18,2004,1261,105,18,39189,15384,3693,89,880
POPE-172X:NA,NA,NA,NA,LET PRIV,1724,1724,Alexander_Pope,1688,m,36,NA,NA,NA,NA,NA,9790,2766,189,26,2126,1350,111,21,40327,16010,1025,132,432
PRIESTLEY-1765:NA,NA,NA,NA,EDUC TREAT,1765,1765,Joseph_Priestley,1733,m,32,NA,NA,NA,NA,NA,9507,2667,164,9,1821,1124,65,7,43606,18025,1050,44,337
PUSEY-187X:NA,NA,NA,NA,SERMON,1870,1870,Edward Bouverie_Pusey,1800,m,70,NA,NA,NA,NA,NA,9173,2658,356,4,1842,1217,62,2,39631,16270,1571,8,498
RICHARDSON-1858:NA,NA,NA,NA,SCIENCE_MEDICINE,1858,1858,Benjamin Ward_Richardson,1828,m,30,NA,NA,NA,NA,NA,7858,2550,222,35,1669,983,96,15,37564,17376,1356,169,278
